Inactive,Delete,Internal ID,Number,Account,Type,Description,Currency,Foreign Currency Balance,Balance
Yes,No,1,10000,Cash,Bank,Cash,USA,"USD$‰Û_205,657,562.08",108222704.9
No,No,144,10100,Cash : SVB Checking Account,Bank,SVB Checking Account,USA,"USD$‰Û_20,018,985.35",20018985.35
No,No,145,10110,Cash : SVB Money Market,Bank,SVB Money Market,USA,"USD$‰Û_1,996,751.22",1996751.22
No,No,146,10120,Cash : SVB Collateral Account - Lockbox,Bank,SVB Collateral Account - Lockbox,USA,USD$‰Û_0.00,0
No,No,147,10130,Cash : SVB Securities - US Bank,Bank,SVB Securities - US Bank,USA,"USD$‰Û_71,421,319.05",71421319.05
No,No,148,10140,Cash : SVB Securities,Bank,SVB Securities,USA,USD$‰Û_0.00,0
No,No,149,10200,Cash : SVB EUR Account,Bank,SVB EUR Account,Euro,"EUR‰âÂ‰Û_1,915,910.89",2620163.7
No,No,150,10210,Cash : SVB GBP Account,Bank,SVB GBP Account,British pound,"GBPå£‰Û_2,861,477.05",4658631.94
No,No,151,10220,Cash : SVB AUD Account,Bank,SVB AUD Account,AUD,"AUD‰Û_4,730,982.23",4228719.95
No,No,152,10230,Cash : SVB NZD Account,Bank,SVB NZD Account,NZD,"NZD‰Û_883,195.52",720803.4
No,No,1111,10240,Cash : SVB CAD Account,Bank,SVB CAD Account,Canadian Dollar,"CAD‰Û_115,359.11",103482.63
No,No,985,10500,Cash : Nat West - Bank Account No 1,Bank,Nat West Bank Account,British pound,"GBPå£‰Û_26,875.65",42976.44797
No,No,1122,10510,Cash : SVB International,Bank,SVB International,USA,"USD$‰Û_5,749.01",5749.01
No,No,1123,10520,Cash : Hong Kong Cash Account,Bank,Hong Kong Cash Account,Hong Kong Dollar,"HKD$‰Û_1,000.00",1000
No,No,1124,10530,Cash : Korea Cash Account,Bank,Korea Cash Account,KRW,"KRW‰â©‰Û_99,369,957",94122.22957
No,No,1098,10700,Cash : Restricted Cash,Bank,Restricted Cash,USA,"USD$‰Û_2,310,000.00",2310000
No,No,975,10900,Cash : Bank Clearing,Bank,Bank Clearing,USA,USD$‰Û_0.00,0
No,No,1120,10950,Cash : Held Cash,Bank,Held Cash,USA,USD$‰Û_0.00,0
No,No,871,10990,Bill.com Money In Clearing,Bank,For payments received via Bill.com,USA,USD$‰Û_0.00,0
No,No,870,10991,Bill.com Money Out Clearing,Bank,For payments made via Bill.com,USA,USD$‰Û_0.00,0
Yes,No,122,11000,Accounts Receivable,Accounts Receivable,Accounts Receivable,, ,80911058.77
No,No,154,11100,Accounts Receivable : Accounts Receivable - Trade,Accounts Receivable,Accounts Receivable - Trade,, ,76297850.31
No,No,1085,11140,Accounts Receivable : Accounts Receivable - DFI,Accounts Receivable,,, ,8084080.21
Yes,No,855,11150,Accounts Receivable : Corporate Credit Card,Accounts Receivable,Corporate Credit Card,, ,0
No,No,156,11190,Accounts Receivable : Vendor Receivable,Accounts Receivable,Vendor Receivable,, ,-8739.86
No,No,168,11800,Accounts Receivable : AR Clearing/DFI - Reserve,Accounts Receivable,AR Clearing/DFI - Reserve,, ,0
No,No,176,11900,Accounts Receivable : Reserve for Doubtful Accounts,Accounts Receivable,Reserve for Doubtful Accounts,, ,-3462131.89
Yes,No,986,12000,Inter Company AR,Accounts Receivable,Inter Company AR,, ,253436.2386
No,No,1109,12100,Inter Company AR : Inter Company Receivable,Accounts Receivable,Inter Company Receivable,, ,253436.2386
Yes,No,127,14000,Inventory Asset,Other Current Asset,Inventory Asset,, ,58786004.53
No,No,181,14100,Inventory Asset : Raw Materials Inventory,Other Current Asset,Raw Materials Inventory,, ,25715365.72
No,No,182,14110,Inventory Asset : Subassembly Inventory,Other Current Asset,Subassembly Inventory,, ,17149163.58
No,No,183,14120,Inventory Asset : MRB Inventory,Other Current Asset,MRB Inventory,, ,0
